Date,VIX_Close,Ticker,Industry,Underlying_Price,OptionType,Expiration,DTE,Strike,Last,Bid,Ask,Volume
2025-07-01,17.9,AAPL,Information Technology,220.98,Call,2025-07-31,30,210.0,13.74,12.02,15.46,6
2025-07-01,17.9,AAPL,Information Technology,220.98,Put,2025-07-31,30,210.0,2.07,1.81,2.33,455
2025-07-01,17.9,AAPL,Information Technology,220.98,Call,2025-07-31,30,232.0,2.67,2.34,3.0,521
2025-07-01,17.9,AAPL,Information Technology,220.98,Put,2025-07-31,30,232.0,12.93,11.31,14.55,826
2025-07-01,17.9,MSFT,Information Technology,435.86,Call,2025-07-31,30,414.0,29.49,25.81,33.18,405
2025-07-01,17.9,MSFT,Information Technology,435.86,Put,2025-07-31,30,414.0,6.27,5.49,7.06,65
2025-07-01,17.9,MSFT,Information Technology,435.86,Call,2025-07-31,30,457.5,7.83,6.85,8.8,235
2025-07-01,17.9,MSFT,Information Technology,435.86,Put,2025-07-31,30,457.5,27.96,24.47,31.46,374
2025-07-01,17.9,NVDA,Information Technology,120.47,Call,2025-07-31,30,114.5,8.89,7.78,10.0,189
2025-07-01,17.9,NVDA,Information Technology,120.47,Put,2025-07-31,30,114.5,2.55,2.23,2.87,489
2025-07-01,17.9,NVDA,Information Technology,120.47,Call,2025-07-31,30,126.5,3.02,2.64,3.4,94
2025-07-01,17.9,NVDA,Information Technology,120.47,Put,2025-07-31,30,126.5,8.63,7.55,9.71,422
2025-07-01,17.9,XOM,Energy,110.69,Call,2025-07-31,30,105.0,7.14,6.25,8.04,38
2025-07-01,17.9,XOM,Energy,110.69,Put,2025-07-31,30,105.0,1.11,0.97,1.25,109
2025-07-01,17.9,XOM,Energy,110.69,Call,2025-07-31,30,116.0,1.53,1.34,1.72,131
2025-07-01,17.9,XOM,Energy,110.69,Put,2025-07-31,30,116.0,6.46,5.65,7.26,186
2025-07-01,17.9,CVX,Energy,153.72,Call,2025-07-31,30,146.0,9.31,8.14,10.47,172
2025-07-01,17.9,CVX,Energy,153.72,Put,2025-07-31,30,146.0,1.11,0.97,1.25,127
2025-07-01,17.9,CVX,Energy,153.72,Call,2025-07-31,30,161.5,1.47,1.28,1.65,106
2025-07-01,17.9,CVX,Energy,153.72,Put,2025-07-31,30,161.5,8.72,7.63,9.81,212
2025-07-01,17.9,JPM,Financials,209.91,Call,2025-07-31,30,199.5,12.48,10.92,14.04,176
2025-07-01,17.9,JPM,Financials,209.91,Put,2025-07-31,30,199.5,1.42,1.24,1.59,81
2025-07-01,17.9,JPM,Financials,209.91,Call,2025-07-31,30,220.5,1.87,1.64,2.1,47
2025-07-01,17.9,JPM,Financials,209.91,Put,2025-07-31,30,220.5,11.74,10.27,13.2,68
2025-07-01,17.9,BAC,Financials,45.35,Call,2025-07-31,30,43.1,2.63,2.3,2.96,0
2025-07-01,17.9,BAC,Financials,45.35,Put,2025-07-31,30,43.1,0.24,0.21,0.27,73
2025-07-01,17.9,BAC,Financials,45.35,Call,2025-07-31,30,47.6,0.34,0.29,0.38,38
2025-07-01,17.9,BAC,Financials,45.35,Put,2025-07-31,30,47.6,2.43,2.13,2.73,222
2025-07-01,17.9,JNJ,Health Care,165.89,Call,2025-07-31,30,157.5,9.52,8.33,10.71,50
2025-07-01,17.9,JNJ,Health Care,165.89,Put,2025-07-31,30,157.5,0.61,0.53,0.69,108
2025-07-01,17.9,JNJ,Health Care,165.89,Call,2025-07-31,30,174.0,0.95,0.83,1.07,265
2025-07-01,17.9,JNJ,Health Care,165.89,Put,2025-07-31,30,174.0,8.49,7.43,9.55,0
2025-07-01,17.9,PFE,Health Care,32.15,Call,2025-07-31,30,30.5,2.03,1.77,2.28,71
2025-07-01,17.9,PFE,Health Care,32.15,Put,2025-07-31,30,30.5,0.28,0.24,0.31,47
2025-07-01,17.9,PFE,Health Care,32.15,Call,2025-07-31,30,33.800000000000004,0.36,0.32,0.41,79
2025-07-01,17.9,PFE,Health Care,32.15,Put,2025-07-31,30,33.800000000000004,1.9,1.67,2.14,128
2025-07-01,17.9,AMZN,Consumer Discretionary,182.55,Call,2025-07-31,30,173.5,12.35,10.81,13.89,27
2025-07-01,17.9,AMZN,Consumer Discretionary,182.55,Put,2025-07-31,30,173.5,2.73,2.39,3.07,704
2025-07-01,17.9,AMZN,Consumer Discretionary,182.55,Call,2025-07-31,30,191.5,3.39,2.97,3.81,0
2025-07-01,17.9,AMZN,Consumer Discretionary,182.55,Put,2025-07-31,30,191.5,11.71,10.25,13.18,533
2025-07-01,17.9,TSLA,Consumer Discretionary,250.27,Call,2025-07-31,30,238.0,14.52,12.7,16.33,232
2025-07-01,17.9,TSLA,Consumer Discretionary,250.27,Put,2025-07-31,30,238.0,1.47,1.28,1.65,276
2025-07-01,17.9,TSLA,Consumer Discretionary,250.27,Call,2025-07-31,30,263.0,1.91,1.68,2.15,21
2025-07-01,17.9,TSLA,Consumer Discretionary,250.27,Put,2025-07-31,30,263.0,13.78,12.06,15.5,0
2025-07-01,17.9,GOOGL,Communication Services,175.84,Call,2025-07-31,30,167.0,11.3,9.89,12.71,191
2025-07-01,17.9,GOOGL,Communication Services,175.84,Put,2025-07-31,30,167.0,1.91,1.67,2.15,568
2025-07-01,17.9,GOOGL,Communication Services,175.84,Call,2025-07-31,30,184.5,2.49,2.18,2.8,512
2025-07-01,17.9,GOOGL,Communication Services,175.84,Put,2025-07-31,30,184.5,10.54,9.22,11.86,83
2025-07-01,17.9,META,Communication Services,537.22,Call,2025-07-31,30,510.5,31.1,27.21,34.98,239
2025-07-01,17.9,META,Communication Services,537.22,Put,2025-07-31,30,510.5,2.7,2.36,3.04,409
2025-07-01,17.9,META,Communication Services,537.22,Call,2025-07-31,30,564.0,3.78,3.3,4.25,0
2025-07-01,17.9,META,Communication Services,537.22,Put,2025-07-31,30,564.0,28.7,25.12,32.29,156
2025-07-04,18.14,AAPL,Information Technology,213.57,Call,2025-08-03,30,203.0,14.54,12.72,16.36,249
2025-07-04,18.14,AAPL,Information Technology,213.57,Put,2025-08-03,30,203.0,3.3,2.89,3.72,336
