date,ticker,price
2024-01-01,AAPL,149.654897400352
2024-01-02,AAPL,149.98276764984942
2024-01-03,AAPL,149.98124986688146
2024-01-04,AAPL,150.83461659331385
2024-01-05,AAPL,149.38254508269634
2024-01-06,AAPL,147.50087569875623
2024-01-07,AAPL,146.93010230248288
2024-01-08,AAPL,146.34514874027795
2024-01-09,AAPL,145.83398592462822
2024-01-10,AAPL,145.18187966393197
2024-01-11,AAPL,144.16336446979537
2024-01-12,AAPL,145.5048364686199
2024-01-13,AAPL,145.10437777807746
2024-01-14,AAPL,146.14656706202217
2024-01-15,AAPL,146.33355085802404
2024-01-16,AAPL,145.2398298933216
2024-01-17,AAPL,144.9039884496998
2024-01-18,AAPL,146.24216801396545
2024-01-19,AAPL,144.56966257032894
2024-01-20,AAPL,143.6085328693838
